month,year,pf_pre,pf_post,pf_total,token_count,nav,price_per_token,total_distribution,dist_per_token_monthly,dist_per_token_annual,avg_smp,avg_rec,avg_energy_MWh,curtailment,rollover_event
1,0.08,1,0,1,120000.0,1205240257.0,10043.67,0.0,0.0,0.0,114.68,77.26,105.45,0,0
2,0.17,1,0,1,120000.0,1237664049.0,10313.87,0.0,0.0,0.0,115.53,77.53,105.75,0,0
3,0.25,1,0,1,120000.0,1276265716.0,10635.55,0.0,0.0,0.0,116.87,78.03,106.02,0,0
4,0.33,1,0,1,120000.0,1315866516.0,10965.55,0.0,0.0,0.0,117.5,77.27,106.69,0,0
5,0.42,1,0,1,120000.0,1368169551.0,11401.41,0.0,0.0,0.0,118.26,76.47,107.2,0,0
6,0.5,1,0,1,120000.0,1417290104.0,11810.75,0.0,0.0,0.0,119.43,75.55,107.22,0,0
7,0.58,1,0,1,120000.0,1485222320.0,12376.85,0.0,0.0,0.0,118.06,73.75,108.08,0,0
8,0.67,1,0,1,120000.0,1525314754.0,12710.96,0.0,0.0,0.0,117.2,71.28,107.97,0,0
9,0.75,1,0,1,120000.0,1542367839.0,12853.07,0.0,0.0,0.0,115.91,68.81,107.37,0,0
10,0.83,1,0,1,120000.0,1568117001.0,13067.64,0.0,0.0,0.0,115.08,67.29,106.33,0,0
11,0.92,1,0,1,120000.0,1569992009.0,13083.27,0.0,0.0,0.0,113.44,65.87,105.47,0,0
12,1.0,0,1,1,202203.0,3007221061.0,14872.27,7472819.0,36.96,443.48,110.44,64.25,104.92,0,1
13,1.08,0,1,1,202203.0,2957254531.0,14625.16,7378007.0,36.49,437.86,107.49,63.68,104.04,0,0
14,1.17,0,1,1,202203.0,2968400098.0,14680.28,7379132.0,36.49,437.92,106.4,63.78,104.09,0,0
15,1.25,0,1,1,202203.0,3028916637.0,14979.56,7435460.0,36.77,441.27,105.0,64.25,104.69,0,0
16,1.33,0,1,1,202203.0,3103191023.0,15346.89,7561596.0,37.4,448.75,104.5,65.36,105.97,0,0
17,1.42,0,1,1,202203.0,3192244588.0,15787.3,7639557.0,37.78,453.38,103.72,66.91,106.78,0,0
18,1.5,0,1,1,202203.0,3290888549.0,16275.15,7692229.0,38.04,456.5,103.35,69.61,107.34,0,0
19,1.58,0,1,1,202203.0,3401040905.0,16819.91,7788130.0,38.52,462.2,103.67,72.38,108.32,0,0
20,1.67,0,1,1,202203.0,3466750665.0,17144.88,7774917.0,38.45,461.41,103.23,75.31,108.24,0,0
21,1.75,0,1,1,202203.0,3486316907.0,17241.64,7711460.0,38.14,457.65,103.35,78.46,107.66,0,0
22,1.83,0,1,1,202203.0,3482914149.0,17224.81,7568777.0,37.43,449.18,104.47,82.15,106.3,0,0
