month,year,pf_id,status,local_time,op_months,fixed_price,avg_energy_MWh,degradation_factor,revenue,opex,interest,debt_repay,gross_cf,tax,after_tax_fcf,token_cf_75pct,distribution,nav_contribution,curtailment,contracted_price
1,0.08,0,PRE,1,0,191.94,105.45,1.0,20241131.0,1666667.0,1666667.0,2222222.0,14685575.0,3230827.0,11454749.0,8591062.0,0.0,1205240257.0,0,
2,0.17,0,PRE,2,0,193.06,105.75,1.0,20415096.0,1666667.0,1666667.0,2222222.0,14859540.0,3269099.0,11590442.0,8692831.0,0.0,1231666211.0,0,
3,0.25,0,PRE,3,0,194.89,106.02,1.0,20662139.0,1666667.0,1666667.0,2222222.0,15106583.0,3323448.0,11783135.0,8837351.0,0.0,1263477875.0,0,
4,0.33,0,PRE,4,0,194.77,106.69,1.0,20778988.0,1666667.0,1666667.0,2222222.0,15223433.0,3349155.0,11874277.0,8905708.0,0.0,1283791793.0,0,
5,0.42,0,PRE,5,0,194.72,107.2,1.0,20874285.0,1666667.0,1666667.0,2222222.0,15318729.0,3370120.0,11948609.0,8961456.0,0.0,1301671023.0,0,
6,0.5,0,PRE,6,0,194.98,107.22,1.0,20906712.0,1666667.0,1666667.0,2222222.0,15351156.0,3377254.0,11973902.0,8980426.0,0.0,1313631277.0,0,
7,0.58,0,PRE,7,0,191.81,108.08,1.0,20729857.0,1666667.0,1666667.0,2222222.0,15174302.0,3338346.0,11835955.0,8876967.0,0.0,1307036109.0,0,
8,0.67,0,PRE,8,0,188.48,107.97,1.0,20349700.0,1666667.0,1666667.0,2222222.0,14794145.0,3254712.0,11539433.0,8654575.0,0.0,1282146721.0,0,
9,0.75,0,PRE,9,0,184.72,107.37,1.0,19834088.0,1666667.0,1666667.0,2222222.0,14278532.0,3141277.0,11137255.0,8352941.0,0.0,1244653370.0,0,
10,0.83,0,PRE,10,0,182.37,106.33,1.0,19392049.0,1666667.0,1666667.0,2222222.0,13836493.0,3044028.0,10792465.0,8094348.0,0.0,1212767622.0,0,
11,0.92,0,PRE,11,0,179.31,105.47,1.0,18912797.0,1666667.0,1666667.0,2222222.0,13357242.0,2938593.0,10418648.0,7813986.0,0.0,1176910257.0,0,
12,1.0,0,POST,12,0,174.7,104.92,1.0,18329605.0,1666667.0,1666667.0,2222222.0,12774049.0,2810291.0,9963759.0,7472819.0,7472819.0,1140613873.0,0,174.7
13,1.08,0,POST,13,1,174.7,104.04,0.999582,18167534.0,1666667.0,1666667.0,2222222.0,12611978.0,2774635.0,9837343.0,7378007.0,7378007.0,1122905725.0,0,174.7
14,1.17,0,POST,14,2,174.7,104.09,0.999165,18169456.0,1666667.0,1666667.0,2222222.0,12613901.0,2775058.0,9838843.0,7379132.0,7379132.0,1119831022.0,0,174.7
15,1.25,0,POST,15,3,174.7,104.69,0.998748,18265743.0,1666667.0,1666667.0,2222222.0,12710188.0,2796241.0,9913946.0,7435460.0,7435460.0,1125099568.0,0,174.7
16,1.33,0,POST,16,4,174.7,105.97,0.998331,18481360.0,1666667.0,1666667.0,2222222.0,12925805.0,2843677.0,10082128.0,7561596.0,7561596.0,1140841576.0,0,174.7
17,1.42,0,POST,17,5,174.7,106.78,0.997914,18614627.0,1666667.0,1666667.0,2222222.0,13059071.0,2872996.0,10186076.0,7639557.0,7639557.0,1149215780.0,0,174.7
