거래일자,거래시간,태양광_발전량_합계(MWh)
2024-01-01,1,0.004156
2024-01-01,2,0.008568
2024-01-01,3,0.000424
2024-01-01,4,0.017912
2024-01-01,5,0.000584
2024-01-01,6,0.0006
2024-01-01,7,0.000424
2024-01-01,8,5.290751
2024-01-01,9,353.643824
2024-01-01,10,1244.845903
2024-01-01,11,2010.792025
2024-01-01,12,2501.106647
2024-01-01,13,2620.143869
2024-01-01,14,2608.64005
2024-01-01,15,1937.654964
2024-01-01,16,1339.848078
2024-01-01,17,1138.38387
2024-01-01,18,791.009053
2024-01-01,19,729.975749
2024-01-01,20,361.916079
2024-01-01,21,161.277762
2024-01-01,22,75.299081
2024-01-01,23,20.258656
2024-01-01,24,3.286363
2024-01-02,1,0.575004
2024-01-02,2,0.063088
2024-01-02,3,0.021692
2024-01-02,4,0.257183
2024-01-02,5,0.277615
2024-01-02,6,0.253112
2024-01-02,7,0.002752
2024-01-02,8,4.27597
2024-01-02,9,222.677805
2024-01-02,10,745.514424
2024-01-02,11,1292.27578
2024-01-02,12,1689.116346
2024-01-02,13,1799.982608
2024-01-02,14,1717.173326
2024-01-02,15,1339.541727
2024-01-02,16,993.904821
2024-01-02,17,998.95191
2024-01-02,18,363.660057
2024-01-02,19,208.124684
2024-01-02,20,126.087624
2024-01-02,21,69.692807
2024-01-02,22,25.89119
2024-01-02,23,7.363894
2024-01-02,24,1.412624
2024-01-03,1,0.361891
2024-01-03,2,0.029775
2024-01-03,3,0.00064
2024-01-03,4,0.132368
2024-01-03,5,0.000544
2024-01-03,6,0.000544
2024-01-03,7,0.000456
2024-01-03,8,0.334778
2024-01-03,9,91.81306
2024-01-03,10,513.78638
2024-01-03,11,1132.319404
2024-01-03,12,1924.90142
2024-01-03,13,2303.705323
2024-01-03,14,2207.519554
2024-01-03,15,1857.957045
2024-01-03,16,1441.748146
2024-01-03,17,1141.407622
2024-01-03,18,643.475672
2024-01-03,19,501.305071
2024-01-03,20,264.819997
2024-01-03,21,78.600032
2024-01-03,22,24.87554
2024-01-03,23,4.633573
2024-01-03,24,0.964004
2024-01-04,1,0.229019
2024-01-04,2,0.049196
2024-01-04,3,0.00028
2024-01-04,4,0.107568
2024-01-04,5,0.000352
2024-01-04,6,0.000432
2024-01-04,7,0.002744
2024-01-04,8,7.201772
2024-01-04,9,451.875303
2024-01-04,10,1658.441934
2024-01-04,11,2899.954262
2024-01-04,12,3621.510169
2024-01-04,13,3871.993116
2024-01-04,14,3744.217962
2024-01-04,15,3242.29382
2024-01-04,16,2185.718574
2024-01-04,17,1390.907697
2024-01-04,18,875.271811
2024-01-04,19,915.087507
2024-01-04,20,740.901101
2024-01-04,21,327.036787
2024-01-04,22,150.08865
2024-01-04,23,55.480568
2024-01-04,24,13.969707
2024-01-05,1,2.892207
2024-01-05,2,0.508588
2024-01-05,3,0.053728
2024-01-05,4,0.258224
2024-01-05,5,0.265128
2024-01-05,6,0.277655
2024-01-05,7,0.03956
2024-01-05,8,4.03767
2024-01-05,9,244.687377
2024-01-05,10,852.715297
2024-01-05,11,1581.847575
2024-01-05,12,2103.12074
2024-01-05,13,2363.786016
